2024-10-24 19:20:01,459 - u1h1 - INFO - Log location : /home/casomoon/DSL_Exercises/logs/u1h1.log
2024-10-24 19:20:06,543 - u1h1 - INFO - Epoch [1/5] - Loss: 1.0620, Accuracy: 33.36%
2024-10-24 19:20:06,862 - u1h1 - INFO - Epoch [2/5] - Loss: 1.0620, Accuracy: 33.36%
2024-10-24 19:20:07,188 - u1h1 - INFO - Epoch [3/5] - Loss: 1.0620, Accuracy: 33.36%
2024-10-24 19:20:07,517 - u1h1 - INFO - Epoch [4/5] - Loss: 1.0620, Accuracy: 33.36%
2024-10-24 19:20:07,846 - u1h1 - INFO - Epoch [5/5] - Loss: 1.0620, Accuracy: 33.36%
2024-10-24 19:20:08,444 - u1h1 - INFO - Epoch [1/200] - Loss: 0.9667, Accuracy: 49.30%
2024-10-24 19:20:08,888 - u1h1 - INFO - Epoch [2/200] - Loss: 0.8330, Accuracy: 50.81%
2024-10-24 19:20:09,352 - u1h1 - INFO - Epoch [3/200] - Loss: 0.7848, Accuracy: 51.15%
2024-10-24 19:20:09,846 - u1h1 - INFO - Epoch [4/200] - Loss: 0.7629, Accuracy: 51.67%
2024-10-24 19:20:10,265 - u1h1 - INFO - Epoch [5/200] - Loss: 0.7491, Accuracy: 52.09%
2024-10-24 19:20:10,690 - u1h1 - INFO - Epoch [6/200] - Loss: 0.7377, Accuracy: 52.63%
2024-10-24 19:20:11,146 - u1h1 - INFO - Epoch [7/200] - Loss: 0.7270, Accuracy: 53.25%
2024-10-24 19:20:11,601 - u1h1 - INFO - Epoch [8/200] - Loss: 0.7165, Accuracy: 53.83%
2024-10-24 19:20:12,073 - u1h1 - INFO - Epoch [9/200] - Loss: 0.7058, Accuracy: 54.63%
2024-10-24 19:20:12,537 - u1h1 - INFO - Epoch [10/200] - Loss: 0.6951, Accuracy: 55.28%
2024-10-24 19:20:12,999 - u1h1 - INFO - Epoch [11/200] - Loss: 0.6836, Accuracy: 56.31%
2024-10-24 19:20:13,461 - u1h1 - INFO - Epoch [12/200] - Loss: 0.6719, Accuracy: 57.37%
2024-10-24 19:20:13,940 - u1h1 - INFO - Epoch [13/200] - Loss: 0.6595, Accuracy: 58.38%
2024-10-24 19:20:14,529 - u1h1 - INFO - Epoch [14/200] - Loss: 0.6469, Accuracy: 59.58%
2024-10-24 19:20:14,983 - u1h1 - INFO - Epoch [15/200] - Loss: 0.6335, Accuracy: 61.10%
2024-10-24 19:20:15,405 - u1h1 - INFO - Epoch [16/200] - Loss: 0.6198, Accuracy: 62.20%
2024-10-24 19:20:15,821 - u1h1 - INFO - Epoch [17/200] - Loss: 0.6056, Accuracy: 63.69%
2024-10-24 19:20:16,258 - u1h1 - INFO - Epoch [18/200] - Loss: 0.5910, Accuracy: 65.20%
2024-10-24 19:20:16,682 - u1h1 - INFO - Epoch [19/200] - Loss: 0.5761, Accuracy: 66.61%
2024-10-24 19:20:17,131 - u1h1 - INFO - Epoch [20/200] - Loss: 0.5612, Accuracy: 68.13%
2024-10-24 19:20:17,583 - u1h1 - INFO - Epoch [21/200] - Loss: 0.5462, Accuracy: 69.49%
2024-10-24 19:20:18,040 - u1h1 - INFO - Epoch [22/200] - Loss: 0.5315, Accuracy: 70.92%
2024-10-24 19:20:18,515 - u1h1 - INFO - Epoch [23/200] - Loss: 0.5169, Accuracy: 72.20%
2024-10-24 19:20:18,977 - u1h1 - INFO - Epoch [24/200] - Loss: 0.5029, Accuracy: 73.40%
2024-10-24 19:20:19,442 - u1h1 - INFO - Epoch [25/200] - Loss: 0.4891, Accuracy: 74.53%
2024-10-24 19:20:19,906 - u1h1 - INFO - Epoch [26/200] - Loss: 0.4760, Accuracy: 75.48%
2024-10-24 19:20:20,379 - u1h1 - INFO - Epoch [27/200] - Loss: 0.4633, Accuracy: 76.49%
